Model,mae,mse,rmse,mape,r2
support_vector_machine_linear_training_data,0.74,1.18,1.09,6.0,0.14
support_vector_machine_linear_testing_data,0.78,1.33,1.15,6.0,-0.13
support_vector_machine_poly_training_data,0.74,1.18,1.09,6.0,0.14
support_vector_machine_poly_testing_data,0.78,1.33,1.15,6.0,-0.13
polynomial_model_training_data,0.72,0.98,0.99,6.0,0.29
polynomial_model_testing_data,0.8,1.97,1.4,6.0,-0.67
neural_network_model_training_data,0.67,0.9,0.95,5.0,0.34
neural_network_model_testing_data,0.89,1.38,1.17,7.0,-0.18
support_vector_machine_rbf_training_data,0.68,0.98,0.99,5.0,0.29
support_vector_machine_rbf_testing_data,0.78,1.23,1.11,6.0,-0.04
gradient_boosting_regressor_training_data,0.82,1.24,1.11,6.0,0.1
gradient_boosting_regressor_testing_data,0.74,1.11,1.05,6.0,0.06
support_vector_machine_sigmoid_training_data,146.95,32499.02,180.27,1191.0,-23658.07
support_vector_machine_sigmoid_testing_data,145.28,33147.04,182.06,1180.0,-28149.13
random_forest_model_training_data,0.07,0.02,0.14,1.0,0.98
random_forest_model_testing_data,0.29,0.26,0.51,2.0,0.78
